text_id,text,date_est,business_hours
58,"RT @LindseyGrahamSC: President @realDonaldTrump’s National security team — @VP Pence, @SecPompeo, @EsperDoD, and national security advisor...",2020-01-07T12:00:49Z,non-business hours
59,"175,000 ticket requests. Keep America Great! https://t.co/CqExUfsJd0",2020-01-29T11:25:02Z,non-business hours
60,"Good for the consumer, gasoline prices coming down!",2020-03-09T14:36:49Z,business hours
61,Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you! https://t.co/MbEjEcc4pW,2020-03-29T18:10:52Z,business hours
62,RT @mitchellvii: DEMOCRATS DIDN'T EXPECT THIS - Washington Post Poll: Hispanics Are the Strongest Opponents of Immigration https://t.co/jqu…,2020-04-30T12:10:19Z,non-business hours
63,RT @mitchellvii: The economy is going to do so well this Summer and make Trump look so good that Democrats will accuse HIM of hyping COVID-…,2020-04-30T12:10:00Z,non-business hours
64,....BUT THE BEST IS YET TO COME!,2020-01-19T00:52:28Z,business hours
65,"Elizabeth “Pocahontas” Warren, other than Mini Mike, was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well, now she can just sit back with her husband and have a nice cold beer!",2020-03-04T03:35:16Z,non-business hours
66,Excellent! https://t.co/5OBYCFQCQo,2020-01-21T00:46:13Z,business hours
67,"RT @GOPChairwoman: .@realDonaldTrump repeatedly warned against incompetent &amp; corrupt politicians in Puerto Rico managing disaster aid.
 
Th…",2020-01-22T05:12:08Z,non-business hours
68,"RT @charliekirk11: Facts:

Federal tax dollars will no longer go to sanctuary states or cities that harbor criminal illegal aliens

If a pr…",2020-03-12T10:00:25Z,non-business hours
69,"We have appointed 220 Federal Judges and two Supreme Court Justices. PROMISES MADE, PROMISES KEPT! https://t.co/fVw6tJ89Wd",2020-03-06T03:18:37Z,non-business hours
70,"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where it is. Important tradition! https://t.co/bX3FLvua1C",2020-02-04T13:27:15Z,non-business hours
71,"Sabato got it all wrong last time, never came close to understanding the Trump Voter. Actually it’s simple, MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT! https://t.co/fnzZATqHXz",2020-02-09T19:09:19Z,business hours
72,RT @AthenaxWisdom: Nancy Pelosi just showed she supports a regime that kills its people. This is disgusting! #NancyPelosiFakeNews,2020-01-13T14:11:34Z,business hours
73,"RT @BiggZie_VT: People just now realizing how crazy and destructive Nancy is to America, better yet the world. I pity those that still supp…",2020-01-13T14:10:41Z,business hours
74,https://t.co/GElcwjwBY2,2020-04-03T00:13:17Z,business hours
75,"Really Big Breaking News (Kidding): Booker, who was in zero polling territory, just dropped out of the Democrat Presidential Primary Race. Now I can rest easy tonight. I was sooo concerned that I would someday have to go head to head with him!",2020-01-13T16:13:50Z,business hours
76,"RT @NRSC: This has really come full circle for @Hickenlooper... First, it was accepting private jet rides and luxury hotel stays that got h…",2020-01-22T05:35:18Z,non-business hours
77,RT @NRSC: .@Hickenlooper may have been misusing CO funds long before he started paying his legal bills from a 9/11 recovery fund - Colorada…,2020-01-22T05:35:08Z,non-business hours
78,"RT @DailyCaller: President @realDonaldTrump says he was ready to face ""communist"" Bernie Sanders and then Joe Biden won on ""Super Tuesday,…",2020-03-06T05:09:52Z,non-business hours
79,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/hNZ4Y7sEUl,2020-04-03T21:24:59Z,business hours
80,"Thank you to @mirandadevine of the New York Post for your interesting (and correct) column today. “Trump has gained 20 points since Impeachment began in October. He gets 67% on economy. Nonwhite approval of Trump is also at a high: 28%, up 10 points in a year. Nice one, Nancy.”",2020-02-10T14:25:20Z,business hours
81,https://t.co/QeFYDg9jZ0,2020-02-04T23:52:14Z,business hours
82,RT @HHSGov: Watch this video to learn how you can help prevent the spread of respiratory diseases like the novel #coronavirus (#COVID19). T…,2020-03-12T13:50:02Z,business hours
