id,text,date_est,business_hours,cal_week
86,"“They tried to Impeach the President eight times before this last Impeachment trial that we went through. In Arizona, people are tired of their obstruction, their investigations, and their Impeachments. They want them to get to work.” Thanks Martha",2020-02-17T15:13:28Z,business hours,7
87," Everyone can help prevent the spread of #COVID. Call your doctor if you develop symptoms, have been in close cont with a p…",2020-03-18T03:40:53Z,non-business hours,12
88, #NIH has today launched a Phase #clinicaltrial evaluating a vaccine candidate for #coronavirus #COVID. This trial is e…,2020-03-18T03:40:33Z,non-business hours,12
89, Trump vows coronavirus-ravaged economy will 'bounce' back #FoxNews #CNN #MSNBC,2020-04-10T12:19:41Z,non-business hours,15
90, Macron faces calls to allow wider use hydroxychloroquine in coronavirus fight: report #FoxNews #CN…,2020-04-10T12:19:28Z,non-business hours,15
91," ""Compared to the President who actually has something to run on...[Democrats] know they can't win on the facts, so they are trying…",2020-01-24T12:26:16Z,non-business hours,4
92," . on the House Impeachment Manager's case so far: ""On Tuesday, all day, we heard the same stories, same videos.…",2020-01-24T12:23:00Z,non-business hours,4
93, The info brought to the floor today alleges that has done nothing to help the Ukrainian people when i…,2020-01-24T12:22:43Z,non-business hours,4
94,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",2020-03-18T10:41:14Z,non-business hours,12
95, AG William Barr on the Russia investigation: 'There's something far more troubling here' #FoxNews…,2020-04-10T12:20:15Z,non-business hours,15
96," On the Democrats’ charge of abuse of power, legal expert Jonathan Turley reviewed the Democrats’ case and concluded that not only…",2020-01-24T12:26:48Z,non-business hours,4
97,"In light of the atk from the Invisible Enemy, as well as the need to prot the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",2020-04-21T02:06:22Z,non-business hours,16
98,Today is National #MedalofHonorDay. Join me in a #MomentofHonor to remember those who have earned our Nation's highest award for valor in combat. The Nation is eternally grateful to these patriots who so valiantly fought for America’s values and the American way of life!,2020-03-25T15:45:36Z,business hours,13
99," CDC and my Administration are doing a GREAT job of handling Coronavirus, including the very early closing of our borde…",2020-02-26T07:22:56Z,non-business hours,9
100," ....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow, they would say we did a rea…",2020-02-26T07:22:50Z,non-business hours,9
101,Devastating Revelations About Crossfire Hurricane In New Releases The greatest polial scam in American history!,2020-04-21T03:14:23Z,non-business hours,16
102,The LameStream Media is the dominant force in trying to get me to keep our Country closed as long as possible in the hope that it will be detrimental to my election success. The real people want to get back to work ASAP. We will be stronger than ever before!,2020-03-25T20:04:56Z,business hours,13
103," We support you because we know your heart is in the right place, and greatly appreciate what an incred…",2020-02-01T21:47:17Z,business hours,5
104," Whether he realizes it or not, Andrew Weissmann just admitted what we always knew: The purpose of the Mueller investigation wa…",2020-02-07T17:37:33Z,business hours,6
105," The hapless Dems are still in denial, ; it’s hilarious to watch. They’re still claiming, despite ALL evidence to the contrary…",2020-02-07T17:36:53Z,business hours,6
106, President signed the $. billion funding bill to combat Coronavirus and defend the health and safety of t…,2020-03-08T04:04:06Z,non-business hours,10
107,"One of the reasons that Fake News has become so prevalent ; far reaching is the fact tharrupt “journalists” base their stories on SOURCES that they make up in order to totally distort a narrative or story. When you see, “five sources say”, don’t believe the story, it is....",2020-03-28T12:33:28Z,non-business hours,13
108, Yahoo reporter apologizes to President Trump after making false coronavirus teslaim in Oval Office meeting,2020-04-29T13:13:23Z,business hours,18
109,"Thank you We’re with you all the way. The American people know what’s going on, they totally get it. Watch what happens in November ! Thank you for your continued support. Together, we are going to KEEP AMERICA GREAT! #BlackVoicesforTrump",2020-03-03T04:41:26Z,non-business hours,9
110,".....least States ; the Nomination. Did the DNC ; Dems tell Elizabeth Warren to wait? If so, they were deadly, the race would have been over, ; Bernie would have won. Dirty double dealing? Nobody knows for sure, ; history will be the judge. But I say, here we go AGAIN, Bernie!",2020-03-08T04:42:08Z,non-business hours,10
111,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ago past. If they did that, the media would be trusted again, and Fake News would largely be a thing of the past!",2020-03-28T14:16:02Z,business hours,13
112," While Democrats talk about helping the African American community, has acted: *Most funding for B…",2020-02-08T12:17:19Z,non-business hours,6
113, Poverty Has Hit The Lowest Level In Two Decades Thanks To #DemDebate #democradebate,2020-02-08T12:16:55Z,non-business hours,6
114," The #DemDebate was emblema of the Democrats' week: a total disaster, short on ideas to actually help Americans.",2020-02-08T12:16:42Z,non-business hours,6
115,Thank you John!,2020-02-02T04:25:03Z,non-business hours,5
116,Happy birthday to a wonderful man ; friend!,2020-02-02T04:24:16Z,non-business hours,5
117,"The noble people of Iran—who love America—deserve a government that's more interested in helping them achieve their dreams than killing them for demanding respect. Instead of leading Iran toward ruin, its leaders should abandon terror and Make Iran Great Again!",2020-01-17T23:10:21Z,business hours,3
118, I am honored and overwhelmed by President Trump’s decision to award the Medal of Freedom. I lived a military life among…,2020-03-09T10:27:37Z,non-business hours,10
119, Also. There seems to be a Leftist trope that the Covid is a “hoax.” You do a disservice by spreading fake information.…,2020-03-09T10:36:12Z,non-business hours,10
120,"Wall is moving along strong, tall and quickly. Thank you Jim for all of your help!",2020-02-02T04:28:55Z,non-business hours,5
121,Will be doing a press conference today at : P.M. The White House. People are working harder than I have ever seen people work. It is a beautiful thing to watch!,2020-03-29T14:01:57Z,business hours,13
122, *He Won’t,2020-02-08T12:18:16Z,non-business hours,6
123, First stop in the Hawkeye State! Women for Trump are excited to show support for - a great panel with,2020-01-18T13:04:17Z,non-business hours,3
124,I commend the hard work of Senator and in proting funding for the Land and Water Conservation Fund for years to come. The citizens of Montana and Colorado thank you both!,2020-03-03T18:30:37Z,business hours,9
125,"ENJOY THE GAME USA, OUR COUNTRY IS DOING GREAT!",2020-02-02T23:13:16Z,business hours,5
126, President We have a 'Positive Revolution' going on in America!,2020-02-03T05:09:20Z,non-business hours,5
127, The future of our Iran policy is crial to the global competition that will determine America’s safety and position in…,2020-01-12T13:10:18Z,non-business hours,2
128,"Here we go again, another Con Job by the Do Nothing Democrats. All of this work was supposed to be done by the House, not the Senate!",2020-01-15T15:33:21Z,business hours,3
129,"Such Fake reporting by the ; others. They use a small portion of a sentence out of a full paragraph in order to demean. They really are corrupt and disgusting. No wonder the media is, according to polls, record setting low ; untrusted. #MAGA",2020-03-28T04:21:32Z,non-business hours,13
130," Thank you, President for your steadfast, unapologe support of law enforcement during #COVID. From DAY ONE…",2020-04-28T23:49:48Z,business hours,17
131,"The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the history of the U.S. Congress. They had Witnesses, we were allowed ZERO, and no lawyers. They didn’t do their job, had no case. The Dems are scamming America!",2020-01-31T21:06:48Z,business hours,5
132,They are staging a coup against Bernie!,2020-03-02T21:32:54Z,business hours,9
133, President traveled to Tennessee to survey damage from the recent tornado and meet with families. We are…,2020-03-07T12:12:19Z,non-business hours,10
134,Democrats = Witnesses. Republicans = Witnesses.,2020-01-31T23:05:44Z,business hours,5
135,"The Democrat Party has given up on counting votes in Iowa. Looks like it all gomputer “fried”. Nobody knows who the real winner is. Maybe it’s Sleepy Joe, but it’s not looking that way. They lost millions ; millions of dollars, all for NOTHING. But I WON Iowa big!",2020-02-07T16:31:56Z,business hours,6
136," Mark Meadows is smart, loyal, and a true patriot. He’s a good man and my best friend! Couldn’t have picked anyone better f…",2020-03-07T12:12:41Z,non-business hours,10
137,به مردم شجاع و رنج کشیده ایران: من از ابتدای دوره ریاست جمهوریم با شما ایستاده‌ام و دولت من همچنان با شما خواهد ایستاد. ما اعتراضات شما را از نزدیک دنبال می کنیم. شجاعت شما الهام بخش است.,2020-01-11T21:46:26Z,business hours,2
138," We built the greatest economy in the world—and together, we will build it again!",2020-04-29T02:37:24Z,non-business hours,18
